h1,h2,h3,h4,w1,w2,w3,w4,class
196.112,184.026,135.903,177.492,192.241,156.983,153.543,190.765,0
113.569,129.316,142.468,105.883,55.7152,167.521,154.674,113.323,1
146.731,205.833,205.326,143.699,134.384,193.345,194.931,178.929,2
116.12,172.693,172.677,119.766,73.8978,198.932,188.962,119.461,3
112.761,147.348,177.162,110.162,43.7667,165.965,165.965,171.732,4
109.205,159.519,169.77,206.028,44.2146,195.842,195.842,208.623,5
145.365,205.567,147.298,135.975,136.455,192.957,172.472,132.322,6
169.996,108.271,151.296,170.0,74.3767,225.401,225.401,74.388,7
9.12195,7.10464,7.10464,7.10464,28.8796,0.518797,0.518797,0.518797,8
59.2143,157.721,213.673,93.2211,209.729,165.173,119.825,29.1039,9
159.803,152.836,146.989,161.283,77.5391,195.305,152.672,195.392,10
202.509,202.514,202.514,112.777,38.3531,227.318,227.318,227.318,11
77.6125,64.5811,63.8215,86.5978,38.951,107.01,107.757,38.8981,12
109.342,70.2975,69.7573,107.35,9.38022,164.705,165.175,17.49,13
110.015,143.001,143.014,104.737,91.8041,157.975,160.314,90.6712,14
56.0846,94.9777,115.788,188.213,2.23559,158.603,153.402,140.821,15
154.244,183.821,174.197,141.949,147.904,198.797,181.312,126.198,16
117.955,142.773,144.254,167.44,75.7602,195.413,149.916,151.331,17
136.378,167.648,173.398,128.453,146.115,159.244,160.456,140.06,18
112.05,212.179,212.179,212.179,225.476,149.665,147.963,225.481,19
170.314,170.318,169.126,126.723,94.9171,223.535,223.642,94.3861,20
179.137,182.559,185.994,196.294,191.562,178.523,181.343,192.554,21
162.247,160.807,164.178,178.805,164.561,169.247,166.104,166.125,22
170.351,182.313,173.735,166.63,194.224,152.987,156.509,189.307,23
169.568,174.813,213.426,217.772,216.428,167.924,175.096,216.129,24
119.245,203.378,203.753,112.4,175.218,145.846,145.544,172.162,25
195.789,179.024,150.558,110.728,174.841,143.675,141.416,176.162,0
85.1699,78.3928,93.4858,100.794,28.6324,123.846,103.437,101.927,1
153.712,215.863,155.949,112.671,131.628,171.865,173.722,160.977,2
128.568,173.701,151.848,85.5309,75.9236,175.103,169.289,119.332,3
132.355,136.241,204.794,65.4658,62.1363,154.897,154.897,166.924,4
124.274,135.471,207.499,141.831,54.2533,180.306,180.306,194.204,5
153.935,176.539,159.157,106.439,134.781,175.838,159.364,126.086,6
169.981,105.428,169.985,125.117,80.7513,204.499,204.499,80.7552,7
191.948,190.653,190.653,147.429,234.47,122.877,129.562,233.772,8
198.644,197.927,140.272,127.713,192.626,204.04,190.694,77.1965,9
162.581,146.272,163.709,126.179,88.2359,181.347,146.598,182.554,10
204.255,203.862,178.298,97.7228,61.9263,207.093,207.093,208.026,11
140.034,130.658,131.664,119.617,93.291,161.133,173.186,94.3642,12
144.233,127.503,132.766,124.225,82.8014,182.075,182.08,81.7639,13
156.097,183.356,167.571,118.397,134.458,178.797,179.272,132.894,14
116.531,116.653,212.155,125.446,68.5449,176.835,175.188,150.218,15
158.037,184.62,151.398,114.298,137.743,181.279,165.407,123.924,16
